,0.001,0.01,0.1,1,10
64,42982588352,5200003008,653082560,68607936,35979200
128,87006076864,10501676992,653082560,106381248,40599488
192,1.76127E+11,10501676992,1290665920,183099328,40599488
256,1.76127E+11,21239242688,1290665920,183099328,49848256
