,0.001,0.01,0.1,1,10
64,4521984,3674112,2826240,1695744,847872
128,9261056,7626752,5447680,3813376,2179072
192,14524416,11296768,8876032,6455296,3227648
256,19243008,16035840,11759616,8552448,5345280
