,0.001,0.01,0.1,1,10
64,65468688,53186991,36801297,24526242,25603440
128,79501095,60768396,46740630,32711994,32093280
192,90603693,69277182,53285100,37297281,38384880
256,96220476,79235814,56589600,39607134,47359332
