,0.001,0.01,0.1,1,10
64,42982588352,5200003008,338362304,68607936,35979200
128,87006076864,5200003008,653082560,106381248,35979200
192,87006076864,5200003008,653082560,106381248,35979200
256,87006076864,10501676992,653082560,106381248,40599488
