,0.001,0.01,0.1,1,10
64,15845920,12870689,9898250,5932494,2958612
128,20101497,16552690,11820510,8273195,4720008
192,23995908,18661468,14653056,10654112,5325468
256,24876522,20729715,15199800,11052568,6906195
