,0.001,0.01,0.1,1,10
64,23953680,19233396,13315428,8814600,9413445
128,46179123,35076444,26986320,18855396,17335710
192,67795983,51600588,39699120,27795663,25639665
256,90158514,73980144,52851240,37052400,41129550
