,0.001,0.01,0.1,1,10
64,9492131,7984579,6478652,4468575,2958612
128,11323867,9663086,7451034,5788858,4122982
192,13133358,10696379,8864584,7037227,4602297
256,13616592,11721987,9195376,7300388,5405687
