,0.001,0.01,0.1,1,10
64,10473455616,9542787072,8663531520,7557758976,7292764160
128,30946115584,29239181312,27034443776,25471459328,24454758400
192,65348296704,61912276992,59418705920,51913891840,49730265088
256,1.06E+11,1.03E+11,98352644096,95202525184,92102705152
