,2,4,8,16,32
lap-ostack1,305.8061102200523,320.40936460519674,317.6394556099797,322.36185961692064,316.04594546413074
lap-odo,330.063692916128,329.8132406009616,322.3962101166623,335.3320100005489,311.1538206710734
lap-dng,327.0349609534116,336.99213015726576,325.5121947897745,334.8850754780879,322.7335115102418
lap-ostack2,317.6394556099797,317.6394556099797,373.6698017885207,378.19909023326767,366.84423564816353
gauss-ostack1,1279.133900928628,1275.7763439896253,1246.8552042506403,1247.7431585008346,1286.1640587686884
gauss-dng,1245.2169829724742,1247.4387046037407,1247.4387046037407,1237.3310768551169,1286.8697090211213
gauss-odo,1279.133900928628,1275.7763439896253,1246.8552042506403,1247.7431585008346,1286.1640587686884
