,2,4,8,16,32
lap-ostack1,178.0732421875,192.87841796875,198.85302734375,190.69287109375,193.0263671875
lap-odo,195.23876953125,191.416259765625,204.350830078125,203.061279296875,189.711181640625
lap-dng,204.366943359375,205.960693359375,194.979736328125,217.2197265625,196.966552734375
lap-ostack2,198.85302734375,198.85302734375,265.94287109375,266.95458984375,260.0498046875
gauss-ostack1,2355.68115234375,2323.8125,2332.2802734375,2312.46826171875,2369.2841796875
gauss-dng,2323.399658203125,2350.14697265625,2350.14697265625,2286.674072265625,2401.9296875
gauss-odo,2355.68115234375,2323.8125,2332.2802734375,2312.46826171875,2369.2841796875
