,0.001,0.01,0.1,1,10
64,71861040,57700188,39946284,26443800,28240335
128,138537369,105229332,80958960,56566188,52007130
192,203387949,154801764,119097360,83386989,76918995
256,270475542,221940432,158553720,111157200,123388650
