,0.001,0.01,0.1,1,10
64,2654208,2506752,2359296,2162688,2113536
128,4276224,4128768,3932160,3784704,3686400
192,5898240,5701632,5554176,5406720,5259264
256,7471104,7323648,7127040,6979584,6832128
