,0.001,0.01,0.1,1,10
64,2006352,1629693,1127763,751410,768060
128,2236401,1709721,1314900,920115,937845
192,2315043,1769976,1361250,952686,1034505
256,2461617,2026836,1447560,1013040,1209600
