,0.001,0.01,0.1,1.0,10.0
64,16371760.0,13297700.0,10226540.0,6129162.0,3056784.0
128,20673666.0,17023762.0,12156870.0,8508563.0,4854420.0
192,24628194.0,19153162.0,15039288.0,10934912.0,5465784.0
256,25532082.0,21275925.0,15600288.0,11343736.0,7088115.0
