,0.001,0.01,0.1,1.0,10.0
64,18087936.0,14696448.0,11304960.0,6782976.0,3391488.0
128,37044224.0,30507008.0,21790720.0,15253504.0,8716288.0
192,58097664.0,45187072.0,35504128.0,25821184.0,12910592.0
256,76972032.0,64143360.0,47038464.0,34209792.0,21381120.0
