,0.001,0.01,0.1,1.0,10.0
64,42982809536.0,5200187328.0,338497472.0,68706240.0,36040640.0
128,87006310336.0,5200187328.0,653230016.0,106491840.0,36040640.0
192,87006310336.0,5200187328.0,653230016.0,106491840.0,36040640.0
256,87006310336.0,10501873600.0,653230016.0,106491840.0,40673216.0
