,0.001,0.01,0.1,1.0,10.0
64,10017971.0,8411590.0,6806942.0,4665243.0,3056784.0
128,11940508.0,10170656.0,7813404.0,6042391.0,4257394.0
192,13765644.0,11188073.0,9250816.0,7318027.0,4742613.0
256,14272152.0,12268197.0,9595864.0,7591556.0,5587607.0
