,0.001,0.01,0.1,1.0,10.0
64,95814720.0,76933584.0,53261712.0,35258400.0,37653780.0
128,184716492.0,140305776.0,107945280.0,75421584.0,69342840.0
192,271183932.0,206402352.0,158796480.0,111182652.0,102558660.0
256,360634056.0,295920576.0,211404960.0,148209600.0,164518200.0
