,0.001,0.01,0.1,1.0,10.0
64,67475040.0,54816684.0,37929060.0,25277652.0,26371500.0
128,81737496.0,62478117.0,48055530.0,33632109.0,33031125.0
192,92918736.0,71047158.0,54646350.0,38249967.0,39419385.0
256,98682093.0,81262650.0,58037160.0,40620174.0,48568932.0
