,0.01,0.1,1.0,10.0
64,5200187328.0,338497472.0,68706240.0,36040640.0
128,5200187328.0,653230016.0,106491840.0,36040640.0
192,5200187328.0,653230016.0,106491840.0,36040640.0
256,10501873600.0,653230016.0,106491840.0,40673216.0
