,0.01,0.1,1.0,10.0
64,184320.0,135168.0,98304.0,61440.0
128,184320.0,147456.0,110592.0,61440.0
192,184320.0,147456.0,110592.0,61440.0
256,196608.0,147456.0,110592.0,73728.0
